feature,pvalue,padj,log2fc,statistic
ASV_18,0.028341832697381237,0.992259504193286,-2.3464495861510355,2.19252205032845
ASV_48,0.08419395035432706,0.992259504193286,3.947527761589923,-1.7268536502586906
ASV_52,0.11830461563530117,0.992259504193286,-3.2016306464731996,1.5619294252339844
ASV_67,0.14561009539686698,0.992259504193286,21.353802108326168,-1.4552137502179978
ASV_54,0.14561009539686698,0.992259504193286,21.645264824013516,-1.4552137502179978
ASV_36,0.1683260949337354,0.992259504193286,1.4974989743678142,-1.3776023502063712
ASV_57,0.2037689674438663,0.992259504193286,-5.087445338077529,1.2708866751903847
ASV_49,0.21075801127655858,0.992259504193286,1.7369645422017845,-1.251483825187478
ASV_24,0.21791883734713324,0.992259504193286,-2.1979377184052975,1.2320809751845714
ASV_77,0.2252529063606531,0.992259504193286,-2.2150108696146074,1.212678125181665
ASV_17,0.2252529063606531,0.992259504193286,1.4429427833111488,-1.212678125181665
ASV_95,0.23276158237058253,0.992259504193286,1.8155743960247408,-1.1932752751787583
ASV_6,0.285901058967548,0.992259504193286,-1.5849614552907245,1.067156750159865
ASV_14,0.3037847253883319,0.992259504193286,1.44478420883609,-1.0283510501540518
ASV_21,0.3083693358615207,0.992259504193286,2.160463025155111,-1.0186496251525985
ASV_43,0.3083693358615207,0.992259504193286,1.3219274584045837,-1.0186496251525985
ASV_50,0.3223963931070317,0.992259504193286,0.46496258465380624,-0.9895453501482385
ASV_76,0.3271631660572756,0.992259504193286,1.8278177292407678,-0.9798439251467852
ASV_74,0.33683327380478,0.992259504193286,-1.3141080076710887,0.9604410751438786
ASV_100,0.33683327380478,0.992259504193286,-0.6858911128956491,0.9604410751438786
ASV_13,0.3721083307918156,0.992259504193286,1.0166783169381686,-0.8925311001337053
ASV_12,0.3825931773694824,0.992259504193286,-0.2765175465943261,0.8731282501307986
ASV_73,0.3879028358833766,0.992259504193286,1.3362828432830023,-0.8634268251293453
ASV_27,0.3986560083814854,0.992259504193286,0.44745880209916394,-0.8440239751264388
ASV_42,0.4376816780828031,0.992259504193286,-1.8413011705624225,0.7761140001162655
ASV_8,0.4376816780828031,0.992259504193286,-1.7705166541196151,0.7761140001162655
ASV_53,0.4376816780828031,0.992259504193286,-2.123380430534776,0.7761140001162655
ASV_63,0.44343085276623995,0.992259504193286,-1.604861049425869,0.7664125751148122
