feature,entropy_group1,entropy_group2,information_divergence,mutual_information,effect_size,log2fc,pvalue,statistic,padj
ASV_52,1.4015101887362598,0.48217919020227284,3.802759251330529,0.13080606001250064,3.3414393528067077,3.3414393528067077,0.018,3.802759251330529,0.8999999999999999
ASV_5,1.5941859576379551,1.2415101887362598,3.464139364704383,0.16995183280614948,0.15609810008246708,0.15609810008246708,0.077,3.464139364704383,1.0
ASV_39,1.5141859576379553,1.1063137138648347,3.392493745109948,0.1271266951542004,0.5719474052406031,0.5719474052406031,0.07,3.392493745109948,1.0
ASV_18,2.1792365361682795,0.9543095546405662,3.3786677609855476,0.12845523185350816,2.084307341552037,2.084307341552037,0.075,3.3786677609855476,1.0
ASV_100,1.7043814577244938,0.8743095546405661,3.2274847184224815,0.11503456021689967,0.6618983184661821,0.6618983184661821,0.255,3.2274847184224815,1.0
ASV_57,1.3354312795575998,0.24229218908241482,3.1626040300318863,0.09132472893653856,5.562215093319443,5.562215093319443,0.012,3.1626040300318863,0.8999999999999999
ASV_56,0.916118213778296,1.2415101887362598,2.958292440622607,0.16732263976152995,0.002547039878668535,0.002547039878668535,0.146,2.958292440622607,1.0
ASV_96,1.4015101887362598,1.2554312795575997,2.8740046308805542,0.13855355993612786,0.03783271390013763,-0.03783271390013763,0.14,2.8740046308805542,1.0
ASV_69,1.4815101887362598,0.7641140545540274,2.707566130945148,0.09928560019745497,0.022526199605219545,-0.022526199605219545,0.268,2.707566130945148,1.0
ASV_77,1.4815101887362598,0.4021791902022728,2.5866158691557235,0.07536588216494185,2.1931323502001643,2.1931323502001643,0.072,2.5866158691557235,1.0
ASV_25,1.0263137138648348,1.0263137138648348,2.445594986914054,0.1144948768723743,0.8352297835125956,-0.8352297835125956,0.125,2.445594986914054,1.0
ASV_61,0.8743095546405661,1.1863137138648348,2.3832969394272574,0.12493752315368287,1.3274700222883034,-1.3274700222883034,0.138,2.3832969394272574,1.0
ASV_13,1.106313713864835,1.4039904575514162,2.3682224004907884,0.14439850820500247,0.3560131425641823,-0.3560131425641823,0.147,2.3682224004907884,1.0
ASV_79,1.106313713864835,1.2415101887362598,2.322495680744712,0.12915339956103153,0.4226221115754154,0.4226221115754154,0.206,2.322495680744712,1.0
ASV_12,1.0954312795575998,0.9543095546405662,2.2662509526613928,0.08412490851491725,0.4775960428160582,0.4775960428160582,0.206,2.2662509526613928,1.0
ASV_75,0.8743095546405661,0.6343095546405662,2.2659337548605754,0.1108534004190409,0.13259411084961242,0.13259411084961242,0.063,2.2659337548605754,1.0
ASV_35,1.4015101887362598,1.4815101887362598,2.265932677345959,0.11082705889909578,0.1486362134049273,0.1486362134049273,0.397,2.265932677345959,1.0
ASV_97,1.2554312795575997,1.2554312795575997,2.2659321524515734,0.11081823474058997,0.37841324313048996,-0.37841324313048996,0.342,2.2659321524515734,1.0
ASV_58,1.2554312795575997,0.9543095546405662,2.24532104679005,0.10136508596938643,0.07801043423965508,-0.07801043423965508,0.273,2.24532104679005,1.0
ASV_23,0.8743095546405661,0.7195563653739032,2.226855907526605,0.09720138702718721,0.787481217371655,0.787481217371655,0.224,2.226855907526605,1.0
ASV_59,1.2554312795575997,1.225235779471061,2.221988766445312,0.09357805729012043,0.1230523365319153,-0.1230523365319153,0.327,2.221988766445312,1.0
ASV_24,1.3713146886497212,0.48217919020227284,2.2212790958658792,0.06493225480105567,2.2434427664127923,2.2434427664127923,0.113,2.2212790958658792,1.0
ASV_94,1.1863137138648348,1.1063137138648347,2.2104820263778535,0.11082934659016969,0.9950227111823516,0.9950227111823516,0.343,2.2104820263778535,1.0
ASV_51,0.8743095546405661,0.7641140545540274,2.210482026377853,0.11083134662016961,1.0291753667544357,-1.0291753667544357,0.14,2.210482026377853,1.0
ASV_6,1.4815101887362598,0.7195563653739032,2.1769027066085824,0.07666650215937215,1.8513813891911652,1.8513813891911652,0.291,2.1769027066085824,1.0
ASV_38,1.4815101887362598,1.3354312795575998,2.171553658795774,0.07632598411241116,0.5911253000063728,0.5911253000063728,0.414,2.171553658795774,1.0
ASV_63,1.0263137138648348,0.48217919020227284,2.154124300762888,0.07135867545628323,1.9232112731264355,1.9232112731264355,0.239,2.154124300762888,1.0
ASV_53,1.106313713864835,0.48217919020227284,2.154124300762888,0.07135867545628323,1.8923924693352587,1.8923924693352587,0.227,2.154124300762888,1.0
ASV_74,1.4815101887362598,0.5293608652873644,2.149177375370897,0.06621293879940025,1.2196288653365228,1.2196288653365228,0.223,2.149177375370897,1.0
ASV_31,0.9543095546405662,0.24229218908241482,2.0983162976632173,0.07125661131022654,2.012435915646403,2.012435915646403,0.182,2.0983162976632173,1.0
ASV_42,1.1863137138648348,0.48217919020227284,2.0646259878442987,0.05904308603455041,2.40868682381572,2.40868682381572,0.209,2.0646259878442987,1.0
ASV_44,1.371314688649721,1.4015101887362598,1.8308475430272888,0.0972813209486178,0.6154841270262329,-0.6154841270262329,0.365,1.8308475430272888,1.0
ASV_2,0.9543095546405662,1.3354312795575998,1.7973814021876704,0.11182947351386388,0.7649293167942168,-0.7649293167942168,0.529,1.7973814021876704,1.0
ASV_33,1.6838561897747248,1.3354312795575998,1.7865858399067343,0.09897062120270554,0.10330360183113503,0.10330360183113503,0.433,1.7865858399067343,1.0
ASV_71,1.3713146886497212,1.5941859576379551,1.759177775994572,0.06956593176116546,0.4371817616596175,-0.4371817616596175,0.335,1.759177775994572,1.0
ASV_55,1.106313713864835,1.3354312795575998,1.754345977603539,0.09722124610037979,0.8021315473975057,-0.8021315473975057,0.698,1.754345977603539,1.0
ASV_3,1.3354312795575998,1.4815101887362598,1.7410377673131894,0.08990710796864672,0.0169293766694922,-0.0169293766694922,0.631,1.7410377673131894,1.0
ASV_16,1.4815101887362598,1.3354312795575998,1.7298352673704451,0.08677954746438313,0.07436970642146216,-0.07436970642146216,0.66,1.7298352673704451,1.0
ASV_70,0.9543095546405662,1.1063137138648347,1.7265697487836333,0.08675717110760493,0.21338577740791867,-0.21338577740791867,0.358,1.7265697487836333,1.0
ASV_66,0.6395563653739031,0.7195563653739032,1.7133119111811188,0.08311738214456857,0.4052602477273695,-0.4052602477273695,0.271,1.7133119111811188,1.0
ASV_1,0.8743095546405661,1.1063137138648347,1.7103516940150572,0.07997255703510714,0.3063156268146535,0.3063156268146535,0.218,1.7103516940150572,1.0
ASV_19,1.5941859576379551,1.813660689688186,1.6990848974613924,0.0972570599799119,0.3491966047012833,-0.3491966047012833,0.79,1.6990848974613924,1.0
ASV_88,0.9543095546405662,1.1063137138648347,1.698844417545948,0.09721073446357657,0.06894425457433946,0.06894425457433946,0.615,1.698844417545948,1.0
ASV_41,1.653660689688186,1.4815101887362598,1.6933830908568401,0.07383496523752184,0.7136041969054571,0.7136041969054571,0.445,1.6933830908568401,1.0
ASV_30,0.7195563653739032,0.6395563653739031,1.6578612487057487,0.08311738214456846,1.088099004244177,1.088099004244177,0.307,1.6578612487057487,1.0
ASV_9,0.7195563653739032,0.8743095546405661,1.6578612487057485,0.08311538211856873,1.0811983956934046,1.0811983956934046,0.534,1.6578612487057485,1.0
ASV_11,1.2252357794710609,0.8743095546405661,1.6304536678891124,0.07226705673172867,0.7336074808314251,0.7336074808314251,0.402,1.6304536678891124,1.0
ASV_26,1.624381457724494,1.56151018873626,1.6189940953977928,0.06587504643560636,0.34544063207649756,0.34544063207649756,0.64,1.6189940953977928,1.0
ASV_91,0.7195563653739032,0.48217919020227284,1.618743740977345,0.06947737166483521,0.4418553517517551,0.4418553517517551,0.429,1.618743740977345,1.0
